ts_code,symbol,name,enname,aliases
CSI.VN,CSI.VN,Công ty Cổ phần Chứng khoán Kiến thiết Việt Nam,Chứng khoán Kiến thiết VN,
CSM.VN,CSM.VN,Công ty Cổ phần Công nghiệp Cao su Miền Nam,Cao su Miền Nam,
CST.VN,CST.VN,Công ty Cổ phần Than Cao Sơn - TKV,Than Cao Sơn - TKV,
CSV.VN,CSV.VN,Công ty Cổ phần Hóa chất Cơ bản miền Nam,Hóa chất Cơ bản miền Nam,
CT3.VN,CT3.VN,Công ty Cổ phần Đầu tư và Xây dựng công trình 3,Xây dựng công trình 3,
CT6.VN,CT6.VN,Công ty Cổ phần Công trình 6,Công trình 6,
CTB.VN,CTB.VN,Công ty Cổ phần Chế tạo Bơm Hải Dương,Bơm Hải Dương,
CTD.VN,CTD.VN,Công ty Cổ phần Xây dựng Coteccons,Xây dựng Coteccons,
CTF.VN,CTF.VN,Công ty Cổ phần City Auto,City Auto,
CTG.VN,CTG.VN,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,VietinBank,VietinBank
CTI.VN,CTI.VN,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Cường Thuận IDICO,
CTP.VN,CTP.VN,Công ty Cổ phần Tập đoàn CTP Group,CTP Group,
CTR.VN,CTR.VN,Tổng Công ty Cổ phần Công trình Viettel,Công trình Viettel,
CTS.VN,CTS.VN,Công ty Cổ phần Chứng khoán Vietinbank,Chứng khoán Vietinbank,
CTT.VN,CTT.VN,Công ty Cổ phần Chế tạo máy - Vinacomin,Chế tạo máy - Vinacomin,
CTW.VN,CTW.VN,Công ty Cổ phần Cấp thoát nước Cần Thơ,Cấp thoát nước Cần Thơ,
CTX.VN,CTX.VN,Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,CONSTREXIM,
CVN.VN,CVN.VN,Công ty Cổ phần Vinam,Vinam Group,
CVT.VN,CVT.VN,Công ty Cổ phần CMC,CMC JSC,
CX8.VN,CX8.VN,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,Constrexim số 8,
CYC.VN,CYC.VN,Công ty Cổ phần Gạch men Chang Yih,Gạch men Chang YIH,
D11.VN,D11.VN,Công ty Cổ phần Địa ốc 11,Địa ốc 11,
D2D.VN,D2D.VN,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Phát triển Đô thị số 2,
DAC.VN,DAC.VN,Công ty Cổ phần 382 Đông Anh,CTCP 382 Đông Anh,
DAD.VN,DAD.VN,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,Phát triển GD Đà Nẵng,
DAE.VN,DAE.VN,Công ty Cổ phần Sách Giáo dục tại Thành phố Đà Nẵng,Sách Giáo dục Đà Nẵng,
DAG.VN,DAG.VN,Công ty Cổ phần Tập đoàn Nhựa Đông Á,TĐ Nhựa Đông Á,
DAH.VN,DAH.VN,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,Tập đoàn Khách sạn Đông Á,
DAN.VN,DAN.VN,Công ty Cổ phần Dược Danapha,Dược Danapha,
DAS.VN,DAS.VN,Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng,Thiết bị Dầu khí Đà Nẵng,
DAT.VN,DAT.VN,Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,ĐT Du lịch và PT Thủy sản,
DBC.VN,DBC.VN,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Tập đoàn DABACO,
DBD.VN,DBD.VN,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định (BIDIPHAR),Dược - TB Y tế Bình Định,
DBM.VN,DBM.VN,Công ty Cổ phần Dược - Vật tư Y tế Đắk Lắk,BAMEPHARM,
DBT.VN,DBT.VN,Công ty Cổ phần Dược phẩm Bến Tre,Dược phẩm Bến Tre,
DC1.VN,DC1.VN,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Phát triển Xây dựng số 1 (DIC1),
DC2.VN,DC2.VN,Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2,DIC Số 2,
DC4.VN,DC4.VN,Công ty Cổ phần Dicera Holdings,Dicera Holdings,
DCF.VN,DCF.VN,Công ty Cổ phần Xây dựng và Thiết kế số 1,XD và Thiết kế số 1,
DCG.VN,DCG.VN,Công ty Cổ phần Tổng Công ty May Đáp Cầu,May Đáp Cầu,
DCH.VN,DCH.VN,Công ty Cổ phần Địa chính Hà Nội,Địa chính Hà Nội,
DCL.VN,DCL.VN,Công ty Cổ phần Dược phẩm Cửu Long,Dược phẩm Cửu Long,
DCM.VN,DCM.VN,Công ty Cổ phần - Tổng Công ty Phân bón Dầu Khí Cà Mau,Đạm Cà Mau,
DCR.VN,DCR.VN,Công ty Cổ phần Gạch men COSEVCO,Gạch men COSEVCO,
DCS.VN,DCS.VN,Công ty Cổ phần Tập đoàn EDX,Tập đoàn EDX,
DCT.VN,DCT.VN,Công ty Cổ phần Tấm lợp Vật liệu Xây dựng Đồng Nai,Tấm lợp VLXD Đồng Nai,
DCV.VN,DCV.VN,Công ty Cổ phần Quản Lý Quỹ đầu tư Dragon Capital Việt Nam,Quản Lý Quỹ Dragon Capital Việt Nam,
DDB.VN,DDB.VN,Công ty Cổ Phần Thương Mại Và Xây Dựng Đông Dương,TM & XD Đông Dương,
DDH.VN,DDH.VN,Công ty Cổ phần Đảm bảo giao thông đường thủy Hải Phòng,Đảm bảo GTĐT Hải Phòng,
DDM.VN,DDM.VN,Công ty Cổ phần Hàng hải Đông Đô,Hàng hải Đông Đô,
DDN.VN,DDN.VN,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng,Dược - TB Y tế Đà Nẵng,
DDV.VN,DDV.VN,Công ty Cổ phần DAP - Vinachem,DAP - Vinachem,
DFC.VN,DFC.VN,Công ty Cổ phần Xích líp Đông Anh,Xích líp Đông Anh,
DFF.VN,DFF.VN,Công ty Cổ phần Tập đoàn Đua Fat,Tập đoàn Đua Fat,
DGC.VN,DGC.VN,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất Đức Giang,Duc Giang
DGT.VN,DGT.VN,Công ty Cổ phần Công trình Giao thông Đồng Nai,Công trình GT Đồng Nai,
DGW.VN,DGW.VN,Công ty Cổ phần Thế Giới Số,Thế Giới Số,
DHA.VN,DHA.VN,Công ty Cổ phần Hóa An,Hóa An,
DHB.VN,DHB.VN,Công ty Cổ phần Phân đạm và Hóa chất Hà Bắc,Đạm Hà Bắc,
DHC.VN,DHC.VN,Công ty Cổ phần Đông Hải Bến Tre,Đông Hải Bến Tre,
DHD.VN,DHD.VN,Công ty Cổ phần Dược Vật Tư Y Tế Hải Dương,Dược Vật Tư Y Tế Hải Dương,
DHG.VN,DHG.VN,Công ty Cổ phần Dược Hậu Giang,Dược Hậu Giang,
DHM.VN,DHM.VN,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu,Khoáng sản Dương Hiếu,
DHN.VN,DHN.VN,Công ty Cổ phần Dược phẩm Hà Nội,Dược Hà Nội,
DHP.VN,DHP.VN,Công ty Cổ phần Điện cơ Hải Phòng,Điện cơ Hải Phòng,
DHT.VN,DHT.VN,Công ty Cổ phần Dược phẩm Hà Tây,Dược phẩm Hà Tây,
DIC.VN,DIC.VN,Công ty Cổ phần Đầu tư và Thương mại DIC,ĐT và TM DIC,
DID.VN,DID.VN,Công ty Cổ phần DIC - Đồng Tiến,DIC - Đồng Tiến,
DIG.VN,DIG.VN,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,DIC Corp,
DIH.VN,DIH.VN,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,PT Xây dựng Hội An,
DKC.VN,DKC.VN,Công ty Cổ phần Chợ Lạng Sơn,Chợ Lạng Sơn,
DKG.VN,DKG.VN,Công ty Cổ Phần Tập đoàn DamiK,Tập đoàn DamiK,
DL1.VN,DL1.VN,Công ty Cổ phần Tập đoàn Alpha Seven,Tập đoàn Alpha 7,
DLD.VN,DLD.VN,Công ty Cổ phần Du lịch Đắk Lắk,Du lịch Đắk Lắk,
DLG.VN,DLG.VN,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Đức Long Gia Lai,
DLR.VN,DLR.VN,Công ty Cổ phần Địa ốc Đà Lạt,Địa ốc Đà Lạt,
DLT.VN,DLT.VN,Công ty Cổ phần Du lịch và Thương mại - Vinacomin,Du lịch và TM - Vinacomin,
DM7.VN,DM7.VN,Công ty Cổ phần Dệt may 7,Dệt may 7,
DMC.VN,DMC.VN,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Dược phẩm DOMESCO,
DMN.VN,DMN.VN,Công ty Cổ phần Domenal,Domenal,
DNA.VN,DNA.VN,Công ty Cổ phần Điện nước An Giang,Điện nước An Giang,
DNC.VN,DNC.VN,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,Điện nước Hải Phòng,
DND.VN,DND.VN,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,XD và Vật liệu Đồng Nai,
DNE.VN,DNE.VN,Công ty Cổ phần Môi trường Đô thị Đà Nẵng,Môi trường Đô thị Đà Nẵng,
DNH.VN,DNH.VN,Công ty Cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Thủy điện Đa Nhim-Hàm Thuận-Đa Mi,
DNL.VN,DNL.VN,Công ty Cổ phần Logistics Cảng Đà Nẵng,Logistics Cảng Đà Nẵng,
DNM.VN,DNM.VN,Tổng Công ty Cổ phần Y tế Danameco,Y tế Danameco,
DNN.VN,DNN.VN,Công ty Cổ phần Cấp nước Đà Nẵng,Cấp nước Đà Nẵng,
DNP.VN,DNP.VN,Công ty Cổ phần DNP Holding,DNP Holding,
DNT.VN,DNT.VN,Công ty Cổ phần Du lịch Đồng Nai,Du lịch Đồng Nai,
DNW.VN,DNW.VN,Công ty Cổ phần Cấp nước Đồng Nai,Cấp nước Đồng Nai,
DOC.VN,DOC.VN,Công ty Cổ phần Vật tư nông nghiệp Đồng Nai,Vật tư nông nghiệp Đồng Nai,
DOP.VN,DOP.VN,Công ty Cổ phần Vận tải Xăng dầu Đồng Tháp,Vận tải XD Đồng Tháp,
DP1.VN,DP1.VN,Công ty Cổ phần Dược phẩm Trung ương CPC1,Dược phẩm Trung ương CPC1,
DP2.VN,DP2.VN,Công ty Cổ phần Dược phẩm Trung ương 2,Dược phẩm TW 2,
DP3.VN,DP3.VN,Công ty Cổ Phần Dược Phẩm Trung Ương 3,Dược Phẩm TW3,
DPC.VN,DPC.VN,Công ty Cổ phần Nhựa Đà Nẵng,Nhựa Đà Nẵng,
DPG.VN,DPG.VN,Công ty Cổ phần Tập đoàn Đạt Phương,Tập đoàn Đạt Phương,
DPH.VN,DPH.VN,Công ty Cổ phần Dược phẩm Hải Phòng,Dược phẩm Hải Phòng,
DPM.VN,DPM.VN,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Tổng Công ty Phân bón và Hóa chất Dầu khí,
DPP.VN,DPP.VN,Công ty Cổ phần Dược Đồng Nai,Dược Đồng Nai,
DPR.VN,DPR.VN,Công ty Cổ phần Cao su Đồng Phú,Cao su Đồng Phú,
DQC.VN,DQC.VN,Công ty Cổ phần Tập đoàn Điện Quang,Tập đoàn Điện Quang,
DRC.VN,DRC.VN,Công ty Cổ phần Cao su Đà Nẵng,Cao su Đà Nẵng,
DRG.VN,DRG.VN,Công ty Cổ phần Cao su Đắk Lắk,Cao su Đắk Lắk,
DRH.VN,DRH.VN,Công ty Cổ phần DRH Holdings,DRH Holdings,
DRI.VN,DRI.VN,Công ty Cổ phần Đầu tư Cao su Đắk Lắk,Đầu tư Cao su Đắk Lắk,
DRL.VN,DRL.VN,Công ty Cổ phần Thủy điện - Điện lực 3,Thủy điện - Điện lực 3,
DS3.VN,DS3.VN,Công ty Cổ phần DS3,Quản lý Đường sông số 3,
DSC.VN,DSC.VN,Công ty Cổ phần Chứng khoán DSC,Chứng khoán DSC,
DSD.VN,DSD.VN,Công ty cổ phần DHC Suối Đôi,DHC Suối Đôi,
DSE.VN,DSE.VN,Công ty Cổ phần Chứng khoán DNSE,Chứng Khoán DNSE,
DSG.VN,DSG.VN,Công ty Cổ phần Kính Đáp Cầu,Kính Đáp Cầu,
DSH.VN,DSH.VN,Công ty Cổ Phần Đầu tư Hạ tầng Đông Sơn,ĐT Hạ tầng Đông Sơn,
DSN.VN,DSN.VN,Công ty Cổ phần Công viên nước Đầm Sen,Công viên nước Đầm Sen,
DSP.VN,DSP.VN,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Dịch vụ Du lịch Phú Thọ,
DST.VN,DST.VN,Công ty Cổ phần Đầu tư Sao Thăng Long,Đầu tư Sao Thăng Long,
DTA.VN,DTA.VN,Công ty Cổ phần Đệ Tam,BĐS Đệ Tam,
DTC.VN,DTC.VN,Công ty Cổ phần Viglacera Đông Triều,Viglacera Đông Triều,
DTD.VN,DTD.VN,Công ty Cổ phần Đầu tư Phát triển Thành Đạt,Đầu tư Phát triển Thành Đạt,
DTG.VN,DTG.VN,Công ty Cổ phần Dược phẩm Tipharco,Dược phẩm Tipharco,
DTH.VN,DTH.VN,Công ty Cổ phần Dược - Vật tư Y tế Thanh Hóa,Vật tư Y tế Thanh Hóa,
DTI.VN,DTI.VN,Công ty Cổ phần Đầu tư Đức Trung,Đầu tư Đức Trung,
DTK.VN,DTK.VN,Tổng Công ty Điện lực TKV - Công ty Cổ phần,Vinacomin Power,
DTL.VN,DTL.VN,Công ty Cổ phần Đại Thiên Lộc,Đại Thiên Lộc,
DTP.VN,DTP.VN,Công ty Cổ phần Dược phẩm CPC1 Hà Nội,Dược phẩm CPC1 Hà Nội,
DTT.VN,DTT.VN,Công ty Cổ phần Kỹ nghệ Đô Thành,Kỹ nghệ Đô Thành,
DUS.VN,DUS.VN,Công ty Cổ phần Dịch vụ Đô thị Đà Lạt,Dịch vụ Đô thị Đà Lạt,
DVC.VN,DVC.VN,Công ty Cổ phần Thương mại dịch vụ Tổng Hợp Cảng Hải Phòng,TM dịch vụ Cảng Hải Phòng,
DVG.VN,DVG.VN,Công ty Cổ phần Đại Việt Group DVG,Tập đoàn Sơn Đại Việt,
DVM.VN,DVM.VN,Công ty Cổ phần Dược liệu Việt Nam,Dược liệu Việt Nam,
DVN.VN,DVN.VN,Tổng Công ty Dược Việt Nam - CTCP,Tổng Công ty Dược Việt Nam,
DVP.VN,DVP.VN,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,ĐT và PT Cảng Đình Vũ,
DVT.VN,DVT.VN,Công ty Cổ phần Đào tạo và Dịch vụ Giao thông vận tải Bình Định,ĐT & DV GTVT Bình Định,
DVW.VN,DVW.VN,Công ty Cổ phần Dịch vụ và Xây dựng cấp nước Đồng Nai,DV và XD cấp nước Đồng Nai,
DWC.VN,DWC.VN,Công ty Cổ phần Cấp nước Đắk Lắk,Cấp nước Đắk Lắk,
DWS.VN,DWS.VN,Công ty Cổ phần Cấp nước và Môi trường Đô thị Đồng Tháp,Cấp nước Đồng Tháp,
DXG.VN,DXG.VN,Công ty Cổ phần Tập đoàn Đất Xanh,Địa ốc Đất Xanh,
DXL.VN,DXL.VN,Công ty Cổ phần Du lịch và Xuất nhập khẩu Lạng Sơn,Du lịch và Xuất nhập khẩu Lạng Sơn,
DXP.VN,DXP.VN,Công ty Cổ phần Cảng Đoạn Xá,Cảng Đoạn Xá,
DXS.VN,DXS.VN,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Dịch vụ BĐS Đất Xanh,
DXV.VN,DXV.VN,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Vật liệu Xây dựng Đà Nẵng,
DZM.VN,DZM.VN,Công ty Cổ phần Cơ điện Dzĩ An,Cơ điện Dzĩ An,
E12.VN,E12.VN,Công ty Cổ phần Xây Dựng Điện VNECO 12,XD Điện VNECO 12,
E29.VN,E29.VN,Công ty cổ phần Đầu tư Xây dựng và Kỹ thuật 29,Đầu tư XD và Kỹ thuật 29,
EBS.VN,EBS.VN,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,Sách Giáo dục Hà Nội,
ECI.VN,ECI.VN,Công ty Cổ phần Tập đoàn ECI,Bản đồ và tranh ảnh GD,
ECO.VN,ECO.VN,Công ty Cổ Phần Nhựa Sinh Thái Việt Nam,Ecoplastic VN,
EFI.VN,EFI.VN,Công ty Cổ phần Đầu tư Tài chính Giáo dục,Tài chính giáo dục,
EGL.VN,EGL.VN,Công ty Cổ phần Môi Trường Đô Thị Gia Lâm,"Urenco Gia Lam.,Jsc",
EIB.VN,EIB.VN,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Eximbank,
EIC.VN,EIC.VN,Công ty Cổ phần EVN Quốc Tế,EVN Quốc Tế,
EID.VN,EID.VN,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,Phát triển GD Hà Nội,
EIN.VN,EIN.VN,Công ty Cổ phần Đầu tư - Thương Mại - Dịch vụ Điện lực,Đầu tư - TM - DV Điện lực,
ELC.VN,ELC.VN,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,ELCOM,
EME.VN,EME.VN,Công ty Cổ phần Điện Cơ,Điện Cơ,
EMG.VN,EMG.VN,Công ty Cổ phần Thiết bị Phụ tùng Cơ điện,Thiết bị phụ tùng cơ điện,
EMS.VN,EMS.VN,Tổng Công ty Chuyển phát nhanh Bưu điện - Công ty Cổ phần,Chuyển phát nhanh Bưu điện,
EVE.VN,EVE.VN,Công ty Cổ phần Everpia,Everpia,
EVF.VN,EVF.VN,Công ty Tài chính Tổng hợp Cổ phần Điện Lực,Tài chính Tổng hợp Điện lực,
EVG.VN,EVG.VN,Công ty Cổ phần Tập đoàn Everland,Tập đoàn Everland,
EVS.VN,EVS.VN,Công ty Cổ phần Chứng khoán EVS,Chứng khoán EVS,
F88.VN,F88.VN,Công ty Cổ phần Đầu tư F88,Đầu tư F88,
FBC.VN,FBC.VN,Công ty Cổ phần Cơ khí Phổ Yên,Cơ khí Phổ Yên,
FCC.VN,FCC.VN,Công ty Cổ phần Liên hợp Thực phẩm,Liên hợp Thực phẩm,
FCM.VN,FCM.VN,Công ty Cổ phần Bê tông Phan Vũ Hà Nam,Bê tông Phan Vũ Hà Nam,
FCN.VN,FCN.VN,Công ty Cổ phần FECON,FECON CORP,
FCS.VN,FCS.VN,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Lương thực TP Hồ Chí Minh,
FDC.VN,FDC.VN,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,FIDECO,
FGL.VN,FGL.VN,Công ty Cổ phần Cà phê Gia Lai,Cà Phê Gia Lai,
FHN.VN,FHN.VN,Công ty Cổ phần Xuất nhập khẩu Lương thực - Thực phẩm Hà Nội,XNK lương thực Hà Nội,
FHS.VN,FHS.VN,Công ty Cổ phần Phát hành sách Thành phố Hồ Chí Minh - FAHASA,Phát hành sách TP HCM - FAHASA,
FIC.VN,FIC.VN,Tổng Công ty Vật liệu Xây dựng số 1 - Công ty Cổ phần,VLXD số 1,
FID.VN,FID.VN,Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam,Đầu tư và PT doanh nghiệp VN,
FIR.VN,FIR.VN,Công ty Cổ phần Địa ốc First Real,Địa ốc First Real,
FIT.VN,FIT.VN,Công ty Cổ phần Tập đoàn F.I.T,Tập đoàn F.I.T,
FMC.VN,FMC.VN,Công ty Cổ phần Thực phẩm Sao Ta,Thực phẩm Sao Ta,
FOC.VN,FOC.VN,Công ty Cổ phần Dịch vụ Trực tuyến FPT,FPT Online,
FOX.VN,FOX.VN,Công ty Cổ phần Viễn thông FPT,FPT Telecom,
FPT.VN,FPT.VN,Công ty Cổ phần FPT,FPT Corp,FPT Corp
FRC.VN,FRC.VN,Công ty Cổ phần Lâm đặc sản xuất khẩu Quảng Nam,Lâm đặc sản xuất khẩu Quảng Nam,
FRM.VN,FRM.VN,Công ty Cổ phần Lâm nghiệp Sài Gòn,Lâm nghiệp Sài Gòn,
FRT.VN,FRT.VN,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Bán lẻ FPT,
FSO.VN,FSO.VN,Công ty Cổ phần Cơ khí đóng tàu thủy sản Việt Nam,Đóng tàu thủy sản VN,
FT1.VN,FT1.VN,Công ty Cổ phần Phụ tùng máy số 1,Phụ tùng máy số 1,
FTI.VN,FTI.VN,Công ty Cổ phần Công nghiệp - Thương mại Hữu Nghị,Công nghiệp - Thương mại Hữu Nghị,
FTM.VN,FTM.VN,Công ty Cổ phần Đầu tư và Phát triển Đức Quân,Phát triển Đức Quân,
FTS.VN,FTS.VN,Công ty Cổ phần Chứng khoán FPT,Chứng khoán FPT,
G20.VN,G20.VN,Công ty Cổ phần Đầu tư Dệt may Vĩnh Phúc,Đầu tư Dệt may Vĩnh Phúc,
G36.VN,G36.VN,Tổng Công ty 36 - Công ty Cổ phần,Tổng Công ty 36,
GAS.VN,GAS.VN,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,PV Gas,PV Gas|PetroVietnam Gas
GCB.VN,GCB.VN,Công ty Cổ phần PETEC Bình Định,PETEC Bình Định,
GCF.VN,GCF.VN,Công ty Cổ phần Thực phẩm G.C,Thực phẩm G.C,
GDA.VN,GDA.VN,Công ty Cổ phần Tôn Đông Á,Tôn Đông Á,
GDH.VN,GDH.VN,Cổ phiếu Công ty cổ phần Tập đoàn GDC,Cổ phiếu Công ty cổ phần Tập đoàn GDC,
GDT.VN,GDT.VN,Công ty Cổ phần Chế biến Gỗ Đức Thành,Gỗ Đức Thành,
GDW.VN,GDW.VN,Công ty Cổ phần Cấp nước Gia Định,Cấp nước Gia Định,
GEE.VN,GEE.VN,Công ty Cổ phần Điện lực Gelex,Thiết bị điện GELEX,
GEG.VN,GEG.VN,Công ty Cổ phần Điện Gia Lai,Điện Gia Lai,
GEL.VN,GEL.VN,Công ty Cổ phần Hạ tầng GELEX,Hạ tầng GELEX,
GER.VN,GER.VN,Công ty Cổ phần Thể thao Ngôi sao Geru,Thể thao Ngôi sao Geru,
GEX.VN,GEX.VN,Công ty Cổ phần Tập đoàn Gelex,Tập đoàn Gelex,
GGG.VN,GGG.VN,Công ty Cổ phần Ô tô Giải Phóng,Ôtô Giải Phóng,
GH3.VN,GH3.VN,Công ty Cổ phần Công trình giao thông Hà Nội,Công trình giao thông Hà Nội,
GHC.VN,GHC.VN,Công ty Cổ phần Thủy điện Gia Lai,Thủy điện Gia Lai,
GIC.VN,GIC.VN,Công ty Cổ phần VSC Green Logistics,ĐT Dịch vụ và PT Xanh,
GIL.VN,GIL.VN,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,XNK Bình Thạnh,
GKM.VN,GKM.VN,Công ty Cổ phần GKM Holdings,GKM Holdings,
GLC.VN,GLC.VN,Công ty Cổ phần Vàng Lào Cai,Vàng Lào Cai,
GLT.VN,GLT.VN,Công ty Cổ phần Kỹ thuật điện Toàn Cầu,KT Điện Toàn Cầu,
GLW.VN,GLW.VN,Công ty Cổ phần Cấp thoát nước Gia Lai,Cấp thoát nước Gia Lai,
GMA.VN,GMA.VN,Công ty Cổ phần G-Automobile,G-Automobile,
GMC.VN,GMC.VN,Công ty Cổ phần Garmex Sài Gòn,Garmex Sài Gòn,
GMD.VN,GMD.VN,Công ty Cổ phần Gemadept,Gemadept,
GMH.VN,GMH.VN,Công ty Cổ phần Minh Hưng Quảng Trị,Minh Hưng Quảng Trị,
GMX.VN,GMX.VN,Công ty Cổ phần Gạch ngói Gốm xây dựng Mỹ Xuân,Gạch ngói Mỹ Xuân,
GND.VN,GND.VN,Công ty Cổ phần Gạch ngói Đồng Nai,Gạch ngói Đồng Nai,
GPC.VN,GPC.VN,Công ty Cổ phần Tập đoàn Green+,Tập đoàn Green+,
GSM.VN,GSM.VN,Công ty Cổ phần Thủy điện Hương Sơn,Thủy điện Hương Sơn,
GSP.VN,GSP.VN,Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế,Vận tải Sản phẩm Khí Quốc tế,
GTA.VN,GTA.VN,Công ty Cổ phần Chế biến Gỗ Thuận An,Gỗ Thuận An,
GTD.VN,GTD.VN,Công ty Cổ phần Giầy Thượng Đình,Giầy Thượng Đình,
GTS.VN,GTS.VN,Công ty Cổ phần Công trình Giao thông Sài Gòn,Công trình Giao thông Sài Gòn,
GTT.VN,GTT.VN,Công ty Cổ phần Thuận Thảo,Thuận Thảo Group,
GVR.VN,GVR.VN,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,Tập đoàn CN Cao su VN,Rubber Group
GVT.VN,GVT.VN,Công ty Cổ phần Giấy Việt Trì,Giấy Việt Trì,
H11.VN,H11.VN,Công ty Cổ phần Xây dựng HUD101,Xây dựng HUD101,
HAC.VN,HAC.VN,Công ty Cổ phần Chứng khoán Hải Phòng,Chứng khoán Hải Phòng,
HAD.VN,HAD.VN,Công ty Cổ phần Bia Hà Nội - Hải Dương,Bia Hà Nội - Hải Dương,
HAF.VN,HAF.VN,Công ty Cổ phần Thực phẩm Hà Nội,Thực phẩm Hà Nội,
HAG.VN,HAG.VN,Công ty Cổ phần Hoàng Anh Gia Lai,Hoàng Anh Gia Lai,
HAH.VN,HAH.VN,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,Vận tải và Xếp dỡ Hải An,
HAM.VN,HAM.VN,Công ty Cổ phần Vật tư Hậu Giang,Vật tư Hậu Giang,
HAN.VN,HAN.VN,Tổng Công ty Xây dựng Hà Nội - CTCP,Xây dựng Hà Nội,
HAP.VN,HAP.VN,Công ty Cổ phần Tập Đoàn Hapaco,Tập đoàn Hapaco,
HAR.VN,HAR.VN,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,BĐS An Dương Thảo Điền,
HAS.VN,HAS.VN,Công ty Cổ phần Hacisco,Hacisco,
HAT.VN,HAT.VN,Công ty Cổ phần Thương mại Bia Hà Nội,TM Bia Hà Nội,
HAV.VN,HAV.VN,Công ty Cổ phần Rượu Hapro,Rượu Hapro,
HAX.VN,HAX.VN,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,Ô tô Hàng Xanh,
HBC.VN,HBC.VN,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Tập đoàn Xây dựng Hòa Bình,
HBD.VN,HBD.VN,Công ty Cổ phần Bao bì PP Bình Dương,Bao bì PP Bình Dương,
HBH.VN,HBH.VN,Công ty Cổ phần HABECO - Hải Phòng,HABECO Hải Phòng,
HBS.VN,HBS.VN,Công ty Cổ phần Chứng khoán Hòa Bình,Chứng khoán Hòa Bình,
HC1.VN,HC1.VN,Công ty Cổ phần Xây dựng số 1 Hà Nội,Xây dựng số 1 Hà Nội,
HC3.VN,HC3.VN,Công ty Cổ phần Xây dựng số 3 Hải Phòng,Xây dựng số 3 Hải Phòng,
HCC.VN,HCC.VN,Công ty Cổ phần Bê tông Hòa Cầm - Intimex,Bê tông Hòa Cầm,
HCD.VN,HCD.VN,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,SX và Thương mại HCD,
HCI.VN,HCI.VN,Công ty Cổ phần Đầu tư - Xây dựng Hà Nội,Đầu tư - XD Hà Nội,
HCM.VN,HCM.VN,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Chứng khoán HSC,
HCT.VN,HCT.VN,Công ty Cổ phần Thương mại - Dịch vụ - Vận tải Xi măng Hải Phòng,TM - DV - Vận tải Xi măng Hải Phòng,
HD2.VN,HD2.VN,Công ty Cổ phần Đầu tư phát triển nhà HUD2,Đầu tư phát triển nhà HUD 2,
